name,accession_id,collection_date,location,Lineage,Institute
hCoV-19/USA/NY-PRL-220930_01E09/2022,EPI_ISL_15297818,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01E15/2022,EPI_ISL_15297824,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01E20/2022,EPI_ISL_15297828,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01F13/2022,EPI_ISL_15297843,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01G03/2022,EPI_ISL_15297852,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01H19/2022,EPI_ISL_15297887,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01H23/2022,EPI_ISL_15297889,25/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01I01/2022,EPI_ISL_15297891,25/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01I10/2022,EPI_ISL_15297896,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01I15/2022,EPI_ISL_15297899,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01J06/2022,EPI_ISL_15297911,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01K24/2022,EPI_ISL_15297940,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01L01/2022,EPI_ISL_15297941,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01M16/2022,EPI_ISL_15297960,26/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_01M20/2022,EPI_ISL_15297963,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02C04/2022,EPI_ISL_15298003,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02C21/2022,EPI_ISL_15298016,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02D05/2022,EPI_ISL_15298021,24/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02D14/2022,EPI_ISL_15298026,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02D17/2022,EPI_ISL_15298029,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02F02/2022,EPI_ISL_15298053,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02F06/2022,EPI_ISL_15298056,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02F21/2022,EPI_ISL_15298066,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02G17/2022,EPI_ISL_15298082,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02H02/2022,EPI_ISL_15298091,27/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02H05/2022,EPI_ISL_15298093,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-220930_02L15/2022,EPI_ISL_15298156,29/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00A10/2022,EPI_ISL_15298178,01/10/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00B15/2022,EPI_ISL_15298196,02/10/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00B21/2022,EPI_ISL_15298200,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00C10/2022,EPI_ISL_15298209,01/10/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00D10/2022,EPI_ISL_15298227,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00D22/2022,EPI_ISL_15298235,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00E13/2022,EPI_ISL_15298243,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00E17/2022,EPI_ISL_15298245,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00E18/2022,EPI_ISL_15298246,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00F14/2022,EPI_ISL_15298260,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00G09/2022,EPI_ISL_15298274,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00I13/2022,EPI_ISL_15298312,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00I16/2022,EPI_ISL_15298314,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00K23/2022,EPI_ISL_15298348,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00L12/2022,EPI_ISL_15298359,28/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/NY-PRL-221003_00L18/2022,EPI_ISL_15298362,30/09/2022,North America / USA / New York / New York City,BQ.1,
hCoV-19/USA/VA-Curative-530566/2022,EPI_ISL_15298540,19/09/2022,North America / USA / Virginia,BQ.1,
hCoV-19/USA/CA-Curative-551732/2022,EPI_ISL_15298584,21/09/2022,North America / USA / California,BQ.1,
hCoV-19/USA/CA-Curative-563129/2022,EPI_ISL_15298603,20/09/2022,North America / USA / California,BQ.1,
hCoV-19/USA/CA-Curative-561076/2022,EPI_ISL_15298605,21/09/2022,North America / USA / California,BQ.1,
hCoV-19/USA/VA-Curative-554610/2022,EPI_ISL_15298674,19/09/2022,North America / USA / Virginia,BQ.1,
hCoV-19/Netherlands/NH-AUMC-033455/2022,EPI_ISL_15298829,27/09/2022,Europe / Netherlands / Noord-Holland,BQ.1,
hCoV-19/Netherlands/NH-AUMC-033439/2022,EPI_ISL_15298875,26/09/2022,Europe / Netherlands / Noord-Holland,BQ.1,
hCoV-19/USA/NC-CORVASEQ-UNC-8133/2022,EPI_ISL_15299100,27/09/2022,North America / USA / North Carolina,BQ.1,
hCoV-19/USA/NC-CORVASEQ-UNC-8150/2022,EPI_ISL_15299114,24/09/2022,North America / USA / North Carolina,BQ.1,
hCoV-19/Australia/QLD0x011981/2022,EPI_ISL_15301151,26/09/2022,Oceania / Australia / Queensland,BQ.1,
hCoV-19/England/QEUH-3258BD26/2022,EPI_ISL_15301878,26/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/QEUH-3258E084/2022,EPI_ISL_15301913,26/09/2022,Europe / United Kingdom / England,BQ.1,
